objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"Obsession: Upstairs, Downstairs","279067","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","64967348","6.95696","8.58599","3.56","0","11798","thing","Obsession: Upstairs, Downstairs","1","6","90","90","30","2020","1,2,3,4","2,3","12+","Some necessary text - easily mercurized or small crib sheet","","","","","","expansion","","","","","","","","","","","","","","",""
"Obsession: Useful Box","338349","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","90046607","5.86067","8.41429","2.5","0","2329","thing","Obsession: Useful Box","1","6","90","90","30","2021","1,2","2","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Obsession: Wessex Expansion","245392","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","64967353","6.71534","8.32388","3.2","0","10835","thing","Obsession: Wessex Expansion","1","4","90","90","30","2018","1,2,3","2","12+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","","","",""
"OrganATTACK!","201406","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","62629401","5.7031","6.29993","1.5455","6292","4095","thing","OrganATTACK!","2","6","15","15","15","2016","2,3,4,5,6","4,5,6","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Oros","313807","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","84398854","6.15062","7.18219","3.3256","2440","4578","thing","Oros","1","4","120","120","60","2023","3,4","3","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Pandemic Legacy: Season 1","161936","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","80867174","8.34487","8.50148","2.8281","3","89657","thing","Pandemic Legacy: Season 1","2","4","60","60","60","2015","2,3,4","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Pandemic Legacy: Season 2","221107","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","80867180","7.68686","8.00947","3.2457","74","34927","thing","Pandemic Legacy: Season 2","2","4","60","60","60","2017","2,3,4","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Pandemic: Contagion","157789","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","80867171","6.02183","6.40191","1.9065","3077","8759","thing","Pandemic: Contagion","2","5","30","30","30","2014","3,4,5","4,5","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Point Galaxy","431998","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","135616356","6.05865","7.1123","1.963","2892","4282","thing","Point Galaxy","1","5","30","30","15","2025","1,2,3,4","3","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Flatout Games","English","2025","English edition"
"Point Galaxy: Rocket Tokens Mini-Expansion","451344","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","135643927","5.56024","7.34878","2","0","860","thing","Point Galaxy: Rocket Tokens Mini-Expansion","1","5","30","30","15","2025","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Polite Society: The Jane Austen Board Game","231878","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","62626361","5.54745","6.82547","1.6667","13681","264","thing","Polite Society: The Jane Austen Board Game","2","5","30","30","30","2018","2,3,4,5","4,5","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Propolis","431994","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","135643928","6.05227","7.08145","2.0784","2927","4289","thing","Propolis","1","4","30","30","15","2025","1,2,3,4","3","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Propolis: Structural Diversity","451345","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","135643929","5.54877","7.32903","1.8","0","766","thing","Propolis: Structural Diversity","1","4","30","30","15","2025","1,2,3","2,3","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Raiders of Scythia","301880","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","131874049","7.09243","7.68826","2.7754","401","13507","thing","Raiders of Scythia","1","4","80","80","60","2020","1,2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Garphill Games","English","2020","Garphill English deluxe edition"
"Raiders of Scythia: Huntress & Stableman","325378","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","131874058","5.57172","7.55122","0","0","825","thing","Raiders of Scythia: Huntress & Stableman","1","4","80","80","60","2021","1,2,3,4","1,2,3","","","","","","","","expansion","","","","","","","","","","","","Garphill Games","English","2021","English edition"
"Railroad Ink Challenge: Lush Green Edition","306881","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","81308200","6.77476","7.56006","2.0972","796","10828","thing","Railroad Ink Challenge: Lush Green Edition","1","4","30","30","15","2021","1,2,3,4","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Horrible Guild","English","2021","English edition"
"Railroad Ink Challenge: Shining Yellow Edition","306882","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","81308210","6.40354","7.43542","2","1584","7293","thing","Railroad Ink Challenge: Shining Yellow Edition","1","4","30","30","15","2021","1,2,3,4","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Horrible Guild","English","2021","English edition"
"Railroad Ink: Arcade Expansion Pack","320731","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","81308217","5.61973","6.93005","2","0","2997","thing","Railroad Ink: Arcade Expansion Pack","1","4","30","30","15","2021","2","2","","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","Horrible Guild","English","2021","English edition"
"Railroad Ink: Eldritch Expansion Pack","320730","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","81308224","5.71064","7.43137","2.5","0","3324","thing","Railroad Ink: Eldritch Expansion Pack","1","4","30","30","15","2021","1,4","4","","","","","","","","expansion","","","","","","","","","","","","Horrible Guild","English","2021","English edition"
"Railroad Ink: Engineer Expansion Pack","320734","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","81308242","5.73818","7.5856","2","0","3043","thing","Railroad Ink: Engineer Expansion Pack","1","4","30","30","15","2021","1,2,3,4","2,3,4","","","","","","","","expansion","","","","","","","","","","","","Horrible Guild","English","2021","English edition"
"Railroad Ink: Underground Expansion Pack","320732","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","81308213","5.64818","7.45212","2.5","0","3023","thing","Railroad Ink: Underground Expansion Pack","1","4","30","30","15","2021","1","1","","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","Horrible Guild","English","2021","English edition"
"Rival Restaurants","262114","6","0","0","1","0","0","0","0","0","0","0","3","","","","","","80867167","6.20825","7.54148","2.2093","2215","4552","thing","Rival Restaurants","2","6","60","60","45","2019","3,4,5,6","4,5","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Rocketmen","283387","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","81069106","6.04616","6.74007","2.5119","2964","3764","thing","Rocketmen","1","4","90","90","30","2021","1,2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Rocketmen: Target – Jupiter","427670","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","128406267","5.54173","7.82269","0","0","299","thing","Rocketmen: Target – Jupiter","1","4","0","0","0","2024","3,4","4","","","","","","","","expansion","","","","","","","","","","","","PHALANX","English","2024","English edition"
"Rummikub","811","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","80867218","6.33722","6.52634","1.7047","1760","50422","thing","Rummikub","2","4","60","60","60","1950","2,3,4","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Sagrada","199561","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","80867074","7.32552","7.46885","1.9196","227","81945","thing","Sagrada","1","4","45","45","30","2017","1,2,3,4","2","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Sagrada: 5-6 Player Expansion","244262","4","0","0","1","0","0","0","0","0","0","0","3","","","","","","80867076","6.77908","7.69511","2.1081","0","17467","thing","Sagrada: 5-6 Player Expansion","5","6","40","40","20","2018","2,3,4,5,6","3","10+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","","","",""
"SCOUT","291453","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","106148454","7.57851","7.78156","1.3866","109","56288","thing","SCOUT","2","5","20","20","20","2019","3,4,5","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Scrabble","320","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","80867425","6.15087","6.27502","2.0521","2438","72259","thing","Scrabble","2","4","90","90","90","1948","2,3,4","2","10+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Secret Hitler","188834","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","80867210","7.24852","7.4834","1.7404","267","52144","thing","Secret Hitler","5","10","45","45","45","2016","6,7,8,9,10","8,10","14+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Sequence","2375","0","0","0","0","0","0","0","0","1","0","0","3","","","","","","80867418","5.9784","6.18887","1.3055","3327","30004","thing","Sequence","2","12","30","30","10","1982","2,3,4,6","3,4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"SHASN","257305","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","80320342","5.82734","7.32603","2.9286","4529","1784","thing","SHASN","3","5","120","120","90","2021","2,3,4,5","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases","2511","6","0","0","1","0","0","0","0","0","0","0","3","","","","","","80867053","7.35969","7.60115","2.6643","207","45135","thing","Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases","1","8","120","120","60","1981","1,2,3,4","2","14+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Sid Meier's Civilization: The Board Game","77130","5","0","0","0","0","0","0","0","1","0","0","3","","","","","","80867143","7.06324","7.36861","3.8982","433","22641","thing","Sid Meier's Civilization: The Board Game","2","4","240","240","120","2010","2,3,4","4","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Smartphone Inc.","246684","6","0","0","1","0","0","0","0","0","0","0","3","","","","","","80867088","7.04855","7.5569","2.8148","450","10515","thing","Smartphone Inc.","1","5","90","90","60","2018","3,4,5","5","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Smartphone Inc.: Update 1.1","306864","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","80867093","6.06386","7.79712","2.9","0","3817","thing","Smartphone Inc.: Update 1.1","1","5","90","90","60","2020","1,2,3,4,5","3,5","12+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","","","",""
"Splendor","148228","9","0","0","1","0","0","0","0","0","0","0","3","","","","","","62626249","7.29282","7.42079","1.7737","245","139839","thing","Splendor","2","4","30","30","30","2014","2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Splendor: Cities of Splendor","220653","6","0","0","1","0","0","0","0","0","0","0","3","","","","","","62626245","6.69495","7.32392","2.1538","0","18938","thing","Splendor: Cities of Splendor","2","4","30","30","30","2017","2,3,4","3","8+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Startups","223770","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","106148448","6.71611","7.17762","1.5814","893","12899","thing","Startups","3","7","20","20","20","2017","3,4,5","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Stramash","188527","9","0","0","0","0","0","0","0","1","0","0","3","","","","","","80867389","5.52356","6.88511","1.3333","18424","86","thing","Stramash","2","6","90","90","30","2011","2,3,4","4","6+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Sushi Go Party!","192291","9","0","0","1","0","0","0","0","0","0","0","3","","","","","","62626429","7.21625","7.37086","1.3245","287","76037","thing","Sushi Go Party!","2","8","20","20","20","2016","3,4,5,6,7,8","4,5","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Terraforming Mars","167791","10","0","0","1","0","0","0","0","0","0","0","3","","","","","","62627448","8.18195","8.33301","3.273","9","160908","thing","Terraforming Mars","1","5","120","120","120","2016","1,2,3,4","3","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Terraforming Mars: Amazonis Planitia – Big Board Edition","401513","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","122737437","5.64979","8.22287","3","0","1313","thing","Terraforming Mars: Amazonis Planitia – Big Board Edition","4","5","0","0","0","2024","3,4,5","4","12+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Terraforming Mars: Ares Expedition","328871","10","0","0","1","0","0","0","0","0","0","0","3","","","","","","86040371","7.36963","7.63152","2.9208","194","40371","thing","Terraforming Mars: Ares Expedition","1","4","60","60","45","2021","1,2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","2021-09-27","","","","","","FryxGames; Stronghold Games","English","2021","English Kickstarter edition"
"Terraforming Mars: Ares Expedition – Crisis","358738","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","108609643","6.04609","7.8702","2.625","0","4517","thing","Terraforming Mars: Ares Expedition – Crisis","1","4","60","60","60","2023","1,2,3,4","1","10+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Terraforming Mars: Ares Expedition – Discovery","358739","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","108609644","6.04773","7.96136","2.7","0","4325","thing","Terraforming Mars: Ares Expedition – Discovery","1","4","60","60","60","2023","1,2,3,4","2,3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Terraforming Mars: Ares Expedition – Discovery · Foundations · Crisis","358741","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","108609656","6.00708","8.02223","2.8333","0","4184","thing","Terraforming Mars: Ares Expedition – Discovery · Foundations · Crisis","1","6","60","60","60","2023","1,2,3,4,5,6","3,4","8+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Terraforming Mars: Ares Expedition – Foundations","358740","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","108609648","5.74384","7.51707","2.5","0","3097","thing","Terraforming Mars: Ares Expedition – Foundations","1","6","60","60","60","2023","2,3,4,5,6","2,4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Terraforming Mars: Ares Expedition – Promo Cards","344634","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","86040383","5.83767","7.75868","2.9","0","2993","thing","Terraforming Mars: Ares Expedition – Promo Cards","1","4","60","60","45","2021","1,2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","2021-09-27","","","","","","FryxGames; Stronghold Games","English","2021","English edition"
"Terraforming Mars: Ares Expedition – Promo Cards #2","371070","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","108609652","5.62508","7.73884","2","0","1472","thing","Terraforming Mars: Ares Expedition – Promo Cards #2","1","4","60","60","60","2023","2,3,4","2,3","8+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Terraforming Mars: Atmo Collectors Promo Card","265081","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","80867026","5.69815","7.88773","3.1429","0","1401","thing","Terraforming Mars: Atmo Collectors Promo Card","1","5","120","120","120","2018","1,2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Terraforming Mars: Automa","395612","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","122352972","6.04181","8.43495","3.1333","0","5088","thing","Terraforming Mars: Automa","1","1","0","0","0","2024","1","1","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","FryxGames; Stronghold Games","English","2024","English edition"
"Terraforming Mars: BGG User-Created Corporation Pack","241497","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","69580237","6.18258","7.97928","3.0556","0","5242","thing","Terraforming Mars: BGG User-Created Corporation Pack","1","5","120","120","120","2018","1,2,3,4","3","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Terraforming Mars: Big Box","311247","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","83455905","6.95132","8.33066","2.0645","0","11563","thing","Terraforming Mars: Big Box","1","5","120","120","120","2021","","2,3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Terraforming Mars: Big Box Promos","312319","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","83455910","6.03939","8.16201","2.9091","0","4755","thing","Terraforming Mars: Big Box Promos","1","5","120","120","120","2021","1,2,3,4","3","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Terraforming Mars: Colonies","255681","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","80866989","7.47615","8.10449","2.9907","0","32192","thing","Terraforming Mars: Colonies","1","5","120","120","120","2018","1,2,3,4,5","3","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Terraforming Mars: Hellas & Elysium","218127","10","0","0","1","0","0","0","0","0","0","0","3","","","","","","69580240","7.85169","8.37641","2.7722","0","40709","thing","Terraforming Mars: Hellas & Elysium","1","5","120","120","90","2017","1,2,3,4,5","3","12+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Terraforming Mars: Jovian Lanterns Promo Card","265083","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","80867036","5.70307","7.82247","3.125","0","1362","thing","Terraforming Mars: Jovian Lanterns Promo Card","1","5","120","120","120","2018","1,2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Terraforming Mars: Penguins Promo Card","230241","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","80867010","6.36251","7.99912","3.0667","0","7182","thing","Terraforming Mars: Penguins Promo Card","1","5","120","120","90","2017","1,2,3,4,5","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Terraforming Mars: Prelude","247030","10","0","0","1","0","0","0","0","0","0","0","3","","","","","","69580238","8.41343","8.84779","2.5592","0","53582","thing","Terraforming Mars: Prelude","1","5","120","120","90","2018","1,2,3,4,5","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Terraforming Mars: Prelude 2","387809","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","122352963","6.51887","8.43928","2.2857","0","8811","thing","Terraforming Mars: Prelude 2","1","5","120","120","90","2024","1,2,3,4,5","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","FryxGames; Stronghold Games","English","2024","English edition"
"Terraforming Mars: Self-Replicating Robots Promo Card","230123","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","69580233","6.20244","7.74347","3.2","0","6435","thing","Terraforming Mars: Self-Replicating Robots Promo Card","1","5","90","90","90","2017","1,2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Terraforming Mars: Small Asteroid Promo Card","202825","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","69580228","6.29438","7.80044","3","0","7147","thing","Terraforming Mars: Small Asteroid Promo Card","1","5","120","120","90","2016","1,2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Terraforming Mars: Snow Algae Promo Card","226297","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","69580230","6.25497","7.83605","2.9167","0","7049","thing","Terraforming Mars: Snow Algae Promo Card","1","5","120","120","90","2017","1,2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Terraforming Mars: The Dice Game","296108","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","115696153","6.63891","7.30971","2.4088","1035","10432","thing","Terraforming Mars: The Dice Game","1","4","45","45","45","2023","1,2,3,4","2","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Terraforming Mars: The Dice Game – Promos","380939","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","115696161","5.6025","7.57045","2.2","0","1275","thing","Terraforming Mars: The Dice Game – Promos","1","4","45","45","45","2023","2,3,4","3","10+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","","","",""
"Terraforming Mars: Turmoil","273473","10","0","0","1","0","0","0","0","0","0","0","3","","","","","","69580234","6.84311","7.47337","3.6814","0","26284","thing","Terraforming Mars: Turmoil","1","5","150","150","150","2019","1,2,3,4,5","3","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Terraforming Mars: Turmoil Promos","279345","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","80867023","6.12596","8.06477","3.5","0","5580","thing","Terraforming Mars: Turmoil Promos","1","5","120","120","120","2019","1,2,3,4","3","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Terraforming Mars: Vastitas Borealis – Big Board Edition","365384","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","122737440","5.65126","8.09749","3","0","1231","thing","Terraforming Mars: Vastitas Borealis – Big Board Edition","1","5","0","0","0","2022","1,2,3,4,5","3,4","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Terraforming Mars: Venus Next","231965","6","0","0","1","0","0","0","0","0","0","0","3","","","","","","69580229","7.09237","7.57364","2.8699","0","32542","thing","Terraforming Mars: Venus Next","1","5","120","120","90","2017","1,2,3,4,5","3,4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Three Sisters","291845","6","0","0","1","0","0","0","0","0","0","0","3","","","","","","88878593","6.81815","7.51483","2.6357","742","10597","thing","Three Sisters","1","4","60","60","30","2022","1,2,3,4","2,3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","25th Century Games; Motor City Gameworks","English","2022","English edition"
"Ticket to Ride","9209","6","0","0","1","0","0","0","0","0","0","0","3","","","","","","80867056","7.26066","7.38514","1.8189","262","150096","thing","Ticket to Ride","2","5","60","60","30","2004","2,3,4,5","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Ticket to Ride: Europe","14996","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","62626390","7.39381","7.52312","1.9152","180","139120","thing","Ticket to Ride: Europe","2","5","60","60","30","2005","2,3,4,5","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Ticket to Ride: Europe – 15th Anniversary","329841","0","0","0","0","0","0","0","0","1","0","0","3","","","","","","85252871","7.23621","8.17695","1.87","0","14864","thing","Ticket to Ride: Europe – 15th Anniversary","2","5","60","60","30","2021","2,3,4,5","4","8+","No necessary in-game text","","","","","","standalone","","","","","","2021-09-02","","","","","","Days of Wonder","English","2021","English edition"
"Twilight Struggle","12333","0","0","0","0","0","0","0","0","1","0","0","3","","","","","","62627556","8.03806","8.22737","3.6148","16","73831","thing","Twilight Struggle","2","2","180","180","120","2005","2","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Ultimate Werewolf: Deluxe Edition","152242","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","62628196","6.12409","6.99225","1.5106","0","6964","thing","Ultimate Werewolf: Deluxe Edition","5","75","30","30","30","2014","7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27","11,12,13,14,15,16,17,18,19,20","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Ultra Tiny Epic Galaxies","285826","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","62628518","6.15967","7.30136","2.1875","0","5495","thing","Ultra Tiny Epic Galaxies","1","5","45","45","30","2019","1,2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Ultra Tiny Epic Kingdoms","286447","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","94529439","5.63141","6.57433","2.1429","8105","2332","thing","Ultra Tiny Epic Kingdoms","1","5","45","45","30","2016","1,2,3,4,5","4","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"UNO","2223","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","106148466","5.35272","5.4822","1.0998","30818","74565","thing","UNO","2","10","30","30","30","1971","3,4,5,6,7,8","4,5,6","5+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Vindication","262114","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","80867095","7.20266","7.75788","3.1045","303","11869","thing","Vindication","2","5","150","150","45","2018","2,3,4,5","3,4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Vindication: Community Promo Pack","279821","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","80867113","5.70936","7.81958","3","0","2885","thing","Vindication: Community Promo Pack","2","5","150","150","45","2019","2,3,4,5","3,4","14+","","","","","","","expansion","","","","","","","","","","","","","","",""
"Vindication: Leaders & Alliances","268819","5","0","0","1","0","0","0","0","0","0","0","3","","","","","","80867101","5.98333","7.87174","3.25","0","5485","thing","Vindication: Leaders & Alliances","1","5","150","150","45","2019","1,2,3","1","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Vindication: Promo Pack","266766","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","80867105","5.65663","7.88863","3","0","2122","thing","Vindication: Promo Pack","2","5","150","150","45","2018","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Voyages","350736","6","0","0","1","0","0","0","0","0","0","0","3","","","","","","89519620","6.31812","7.37817","1.7846","1814","4806","thing","Voyages","1","100","30","30","20","2021","1,2,3,4,5,6,7,8","1,2,3","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Postmark Games","Dutch; English; French; Italian; Japanese; Spanish","2021","English edition"
"Welcome to New Las Vegas","281075","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","81099807","6.08152","6.69768","2.8214","2764","4489","thing","Welcome to New Las Vegas","1","50","35","35","35","2020","1,2,3,4,5,6,7,8","3,4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
